RegionName,StateName,HealthRegionName,HealthRegionLat,HealthRegionLon,match_0,match_1,match_2,match_3
Centro-Oeste,Distrito Federal,Brasília,-15.781137,-47.796772,,,,
Centro-Oeste,Goiás,Central,-16.417870,-49.535922,,,,
Centro-Oeste,Goiás,Centro Sul,-17.106005,-49.154373,,,,
Centro-Oeste,Goiás,Entorno Norte,-14.913098,-47.336380,,,,
Centro-Oeste,Goiás,Entorno Sul,-16.531382,-47.769993,,,,
Centro-Oeste,Goiás,Estrada de Ferro,-17.749238,-48.093176,,,,
Centro-Oeste,Goiás,Nordeste I,-13.490322,-47.324912,,,,
Centro-Oeste,Goiás,Nordeste II,-14.084942,-46.532806,,,,
Centro-Oeste,Goiás,Norte,-13.424418,-49.410493,,,,
Centro-Oeste,Goiás,Oeste I,-16.286025,-51.535543,,,,
Centro-Oeste,Goiás,Oeste II,-16.777583,-50.418188,,,,
Centro-Oeste,Goiás,Pirineus,-15.983342,-48.781852,,,,
Centro-Oeste,Goiás,Rio Vermelho,-15.167849,-50.638101,,,,
Centro-Oeste,Goiás,Serra da Mesa,-14.324376,-48.733176,,,,
Centro-Oeste,Goiás,Sudoeste I,-18.203874,-50.916215,,,,
Centro-Oeste,Goiás,Sudoeste II,-17.669615,-52.234281,,,,
Centro-Oeste,Goiás,Sul,-18.119974,-49.486152,,,,
Centro-Oeste,Goiás,São Patrício I,-14.786051,-49.790962,,,,
Centro-Oeste,Goiás,São Patrício II,-15.277505,-48.798427,,,,
Centro-Oeste,Mato Grosso do Sul,Campo Grande,-20.109675,-55.085582,,,,
Centro-Oeste,Mato Grosso do Sul,Corumbá,-18.724365,-56.727023,,,,
Centro-Oeste,Mato Grosso do Sul,Dourados,-22.608533,-54.447776,,,,
Centro-Oeste,Mato Grosso do Sul,Três Lagoas,-20.307130,-52.241660,,,,
Centro-Oeste,Mato Grosso,Alto Tapajós,-9.436201,-57.359684,,,,
Centro-Oeste,Mato Grosso,Araguaia Xingu,-10.430658,-51.799651,,,,
Centro-Oeste,Mato Grosso,Baixada Cuiabana,-16.162808,-56.093610,,,,
Centro-Oeste,Mato Grosso,Centro Norte,-13.830616,-56.651200,,,,
Centro-Oeste,Mato Grosso,Garças Araguaia,-15.198407,-52.689238,,,,
Centro-Oeste,Mato Grosso,Médio Araguaia,-13.115361,-52.283725,,,,
Centro-Oeste,Mato Grosso,Médio Norte Matogrossense,-14.070789,-58.052819,,,,
Centro-Oeste,Mato Grosso,Noroeste Matogrossense,-10.579538,-59.397221,,,,
Centro-Oeste,Mato Grosso,Norte Araguaia Karajá,-11.576948,-51.607307,,,,
Centro-Oeste,Mato Grosso,Norte Matogrossense,-10.836116,-54.961896,,,,
Centro-Oeste,Mato Grosso,Oeste Matogrossense,-16.134910,-58.090711,,,,
Centro-Oeste,Mato Grosso,Sudoeste Matogrossense,-13.635870,-59.858242,,,,
Centro-Oeste,Mato Grosso,Sul Matogrossense,-15.614286,-54.174343,,,,
Centro-Oeste,Mato Grosso,Teles Pires,-12.556308,-55.311785,,,,
Centro-Oeste,Mato Grosso,Vale do Peixoto,-10.029467,-54.290995,,,,
Centro-Oeste,Mato Grosso,Vale dos Arinos,-11.199005,-57.213532,,,,
Nordeste,Alagoas,10ª Região de Saúde,-9.278795,-37.846748,,,,
Nordeste,Alagoas,1ª Região de Saúde,-9.508470,-35.807286,,,,
Nordeste,Alagoas,2ª Região de Saúde,-9.100784,-35.459892,,,,
