CleanRegionName,CleanStateName,CleanHealthRegionName,CleanMunicipalityName,CanonicalRegionName,CanonicalStateName,CanonicalHealthRegionName,CanonicalMunicipalityName
,,,,,,,
,,,0,,,,
,,,1,,,,
,,,10,,,,
,,,11,,,,
,,,12,,,,
,,,13,,,,
,,,14,,,,
,,,52,,,,
,,,74,,,,
,,,119,,,,
,,,110000,Norte,Rondônia,,
,,,110001,Norte,Rondônia,Zona da Mata,Alta Floresta D'Oeste
,,,110002,Norte,Rondônia,Vale do Jamari,Ariquemes
,,,110003,Norte,Rondônia,Cone Sul,Cabixi
,,,110004,Norte,Rondônia,Café,Cacoal
,,,110005,Norte,Rondônia,Cone Sul,Cerejeiras
,,,110006,Norte,Rondônia,Cone Sul,Colorado do Oeste
,,,110007,Norte,Rondônia,Cone Sul,Corumbiara
,,,110008,Norte,Rondônia,Vale do Guaporé,Costa Marques
,,,110009,Norte,Rondônia,Café,Espigão D'Oeste
,,,110010,Norte,Rondônia,Madeira-Mamoré,Guajará-Mirim
,,,110011,Norte,Rondônia,Central,Jaru
,,,110012,Norte,Rondônia,Central,Ji-Paraná
,,,110013,Norte,Rondônia,Vale do Jamari,Machadinho D'Oeste
,,,110014,Norte,Rondônia,Zona da Mata,Nova Brasilândia D'Oeste
,,,110015,Norte,Rondônia,Central,Ouro Preto do Oeste
,,,110018,Norte,Rondônia,Café,Pimenta Bueno
,,,110020,Norte,Rondônia,Madeira-Mamoré,Porto Velho
,,,110025,Norte,Rondônia,Central,Presidente Médici
,,,110026,Norte,Rondônia,Vale do Jamari,Rio Crespo
,,,110028,Norte,Rondônia,Zona da Mata,Rolim de Moura
,,,110029,Norte,Rondônia,Zona da Mata,Santa Luzia D'Oeste
,,,110030,Norte,Rondônia,Cone Sul,Vilhena
,,,110032,Norte,Rondônia,Central,São Miguel do Guaporé
,,,110033,Norte,Rondônia,Madeira-Mamoré,Nova Mamoré
,,,110034,Norte,Rondônia,Central,Alvorada D'Oeste
,,,110037,Norte,Rondônia,Zona da Mata,Alto Alegre dos Parecis
,,,110040,Norte,Rondônia,Vale do Jamari,Alto Paraíso
,,,110045,Norte,Rondônia,Vale do Jamari,Buritis
,,,110050,Norte,Rondônia,Zona da Mata,Novo Horizonte do Oeste
,,,110060,Norte,Rondônia,Vale do Jamari,Cacaulândia
,,,110070,Norte,Rondônia,Vale do Jamari,Campo Novo de Rondônia
,,,110080,Norte,Rondônia,Madeira-Mamoré,Candeias do Jamari
,,,110090,Norte,Rondônia,Zona da Mata,Castanheiras
,,,110092,Norte,Rondônia,Cone Sul,Chupinguaia
,,,110094,Norte,Rondônia,Vale do Jamari,Cujubim
,,,110100,Norte,Rondônia,Central,Governador Jorge Teixeira
,,,110110,Norte,Rondônia,Madeira-Mamoré,Itapuã do Oeste
,,,110120,Norte,Rondônia,Café,Ministro Andreazza
,,,110130,Norte,Rondônia,Central,Mirante da Serra
,,,110140,Norte,Rondônia,Vale do Jamari,Monte Negro
,,,110143,Norte,Rondônia,Central,Nova União
,,,110145,Norte,Rondônia,Zona da Mata,Parecis
,,,110146,Norte,Rondônia,Cone Sul,Pimenteiras do Oeste
,,,110147,Norte,Rondônia,Café,Primavera de Rondônia
,,,110148,Norte,Rondônia,Café,São Felipe D'Oeste
,,,110149,Norte,Rondônia,Vale do Guaporé,São Francisco do Guaporé
,,,110150,Norte,Rondônia,Vale do Guaporé,Seringueiras
,,,110155,Norte,Rondônia,Central,Teixeirópolis
,,,110160,Norte,Rondônia,Central,Theobroma
,,,110170,Norte,Rondônia,Central,Urupá
,,,110175,Norte,Rondônia,Central,Vale do Anari
,,,110180,Norte,Rondônia,Central,Vale do Paraíso
,,,120000,Norte,Acre,,
,,,120001,Norte,Acre,Baixo Acre e Purus,Acrelândia
,,,120005,Norte,Acre,Alto Acre,Assis Brasil
,,,120010,Norte,Acre,Alto Acre,Brasiléia
,,,120013,Norte,Acre,Baixo Acre e Purus,Bujari
,,,120017,Norte,Acre,Baixo Acre e Purus,Capixaba
,,,120020,Norte,Acre,Juruá e Tarauacá/Envira,Cruzeiro do Sul
,,,120025,Norte,Acre,Alto Acre,Epitaciolândia
,,,120030,Norte,Acre,Juruá e Tarauacá/Envira,Feijó
,,,120032,Norte,Acre,Baixo Acre e Purus,Jordão
,,,120033,Norte,Acre,Juruá e Tarauacá/Envira,Mâncio Lima
,,,120034,Norte,Acre,Baixo Acre e Purus,Manoel Urbano
,,,120035,Norte,Acre,Juruá e Tarauacá/Envira,Marechal Thaumaturgo
,,,120038,Norte,Acre,Baixo Acre e Purus,Plácido de Castro
,,,120039,Norte,Acre,Juruá e Tarauacá/Envira,Porto Walter
,,,120040,Norte,Acre,Baixo Acre e Purus,Rio Branco
,,,120042,Norte,Acre,Juruá e Tarauacá/Envira,Rodrigues Alves
,,,120043,Norte,Acre,Baixo Acre e Purus,Santa Rosa do Purus
,,,120045,Norte,Acre,Baixo Acre e Purus,Senador Guiomard
,,,120050,Norte,Acre,Baixo Acre e Purus,Sena Madureira
,,,120060,Norte,Acre,Juruá e Tarauacá/Envira,Tarauacá
,,,120070,Norte,Acre,Alto Acre,Xapuri
,,,120080,Norte,Acre,Baixo Acre e Purus,Porto Acre
,,,130000,Norte,Amazonas,,
,,,130002,Norte,Amazonas,Triângulo,Alvarães
,,,130006,Norte,Amazonas,Alto Solimões,Amaturá
,,,130008,Norte,Amazonas,Rio Negro e Solimões,Anamã
,,,130010,Norte,Amazonas,Rio Negro e Solimões,Anori
,,,130014,Norte,Amazonas,Rio Madeira,Apuí
,,,130020,Norte,Amazonas,Alto Solimões,Atalaia do Norte
,,,130030,Norte,Amazonas,"Manaus, Entorno e Alto Rio Negro",Autazes
,,,130040,Norte,Amazonas,"Manaus, Entorno e Alto Rio Negro",Barcelos
,,,130050,Norte,Amazonas,Baixo Amazonas,Barreirinha
,,,130060,Norte,Amazonas,Alto Solimões,Benjamin Constant
,,,130063,Norte,Amazonas,Rio Negro e Solimões,Beruri
,,,130068,Norte,Amazonas,Baixo Amazonas,Boa Vista do Ramos
,,,130070,Norte,Amazonas,Regional Purus,Boca do Acre
,,,130080,Norte,Amazonas,Rio Madeira,Borba
,,,130083,Norte,Amazonas,Rio Negro e Solimões,Caapiranga
,,,130090,Norte,Amazonas,Regional Purus,Canutama
,,,130100,Norte,Amazonas,Regional Juruá,Carauari
,,,130110,Norte,Amazonas,"Manaus, Entorno e Alto Rio Negro",Careiro
,,,130115,Norte,Amazonas,"Manaus, Entorno e Alto Rio Negro",Careiro da Várzea
,,,130120,Norte,Amazonas,Rio Negro e Solimões,Coari
,,,130130,Norte,Amazonas,Rio Negro e Solimões,Codajás
,,,130140,Norte,Amazonas,Regional Juruá,Eirunepé
,,,130150,Norte,Amazonas,Regional Juruá,Envira
,,,130160,Norte,Amazonas,Alto Solimões,Fonte Boa
