RegionName,StateName,HealthRegionName,MunicipalityName,MunicipalityCodeShort,MunicipalityCodeLong
Centro-Oeste,Distrito Federal,Brasília,Brasília,530010,5300108
Centro-Oeste,Goiás,Central,Abadia de Goiás,520005,5200050
Centro-Oeste,Goiás,Central,Anicuns,520130,5201306
Centro-Oeste,Goiás,Central,Araçu,520160,5201603
Centro-Oeste,Goiás,Central,Avelinópolis,520280,5202809
Centro-Oeste,Goiás,Central,Brazabrantes,520360,5203609
Centro-Oeste,Goiás,Central,Campestre de Goiás,520460,5204607
Centro-Oeste,Goiás,Central,Caturaí,520520,5205208
Centro-Oeste,Goiás,Central,Damolândia,520680,5206800
Centro-Oeste,Goiás,Central,Goianira,520880,5208806
Centro-Oeste,Goiás,Central,Goiânia,520870,5208707
Centro-Oeste,Goiás,Central,Guapó,520920,5209200
Centro-Oeste,Goiás,Central,Inhumas,521000,5210000
Centro-Oeste,Goiás,Central,Itaguari,521056,5210562
Centro-Oeste,Goiás,Central,Itauçu,521140,5211404
Centro-Oeste,Goiás,Central,Jesúpolis,521205,5212055
Centro-Oeste,Goiás,Central,Nazário,521440,5214408
Centro-Oeste,Goiás,Central,Nerópolis,521450,5214507
Centro-Oeste,Goiás,Central,Nova Veneza,521500,5215009
Centro-Oeste,Goiás,Central,Ouro Verde de Goiás,521540,5215405
Centro-Oeste,Goiás,Central,Petrolina de Goiás,521680,5216809
Centro-Oeste,Goiás,Central,Santa Bárbara de Goiás,521910,5219100
Centro-Oeste,Goiás,Central,Santa Rosa de Goiás,521950,5219506
Centro-Oeste,Goiás,Central,Santo Antônio de Goiás,521973,5219738
Centro-Oeste,Goiás,Central,São Francisco de Goiás,521990,5219902
Centro-Oeste,Goiás,Central,Taquaral de Goiás,522100,5221007
Centro-Oeste,Goiás,Central,Trindade,522140,5221403
Centro-Oeste,Goiás,Centro Sul,Aparecida de Goiânia,520140,5201405
Centro-Oeste,Goiás,Centro Sul,Aragoiânia,520180,5201801
Centro-Oeste,Goiás,Centro Sul,Bela Vista de Goiás,520330,5203302
