RegionName,StateName,HealthRegionName,MunicipalityName,MunicipalityLat,MunicipalityLon,match_0,match_1,match_2,match_3
Centro-Oeste,Distrito Federal,Brasília,Brasília,-15.781137,-47.796772,Brasilia,,,
Centro-Oeste,Goiás,Central,Abadia de Goiás,-16.786128,-49.453616,,,,
Centro-Oeste,Goiás,Central,Anicuns,-16.397601,-49.967827,,,,
Centro-Oeste,Goiás,Central,Araçu,-16.365139,-49.701407,,,,
Centro-Oeste,Goiás,Central,Avelinópolis,-16.492900,-49.766038,,,,
Centro-Oeste,Goiás,Central,Brazabrantes,-16.388085,-49.378025,,,,
Centro-Oeste,Goiás,Central,Campestre de Goiás,-16.787787,-49.700005,,,,
Centro-Oeste,Goiás,Central,Caturaí,-16.454651,-49.583666,,,,
Centro-Oeste,Goiás,Central,Damolândia,-16.256766,-49.333656,,,,
Centro-Oeste,Goiás,Central,Goianira,-16.499743,-49.429754,,,,
Centro-Oeste,Goiás,Central,Goiânia,-16.643034,-49.274339,,,,
Centro-Oeste,Goiás,Central,Guapó,-16.911668,-49.572823,,,,
Centro-Oeste,Goiás,Central,Inhumas,-16.307554,-49.515957,,,,
Centro-Oeste,Goiás,Central,Itaguari,-15.938367,-49.626494,,,,
Centro-Oeste,Goiás,Central,Itauçu,-16.195591,-49.609669,,,,
Centro-Oeste,Goiás,Central,Jesúpolis,-15.965231,-49.411535,,,,
Centro-Oeste,Goiás,Central,Nazário,-16.583330,-49.849865,,,,
Centro-Oeste,Goiás,Central,Nerópolis,-16.426306,-49.186708,,,,
Centro-Oeste,Goiás,Central,Nova Veneza,-16.358166,-49.309359,,,,
Centro-Oeste,Goiás,Central,Ouro Verde de Goiás,-16.254788,-49.220793,,,,
Centro-Oeste,Goiás,Central,Petrolina de Goiás,-16.111773,-49.316382,,,,
Centro-Oeste,Goiás,Central,Santa Bárbara de Goiás,-16.596400,-49.678725,,,,
Centro-Oeste,Goiás,Central,Santa Rosa de Goiás,-16.062733,-49.486062,,,,
Centro-Oeste,Goiás,Central,Santo Antônio de Goiás,-16.476971,-49.294326,,,,
Centro-Oeste,Goiás,Central,São Francisco de Goiás,-15.951289,-49.255924,,,,
Centro-Oeste,Goiás,Central,Taquaral de Goiás,-16.046331,-49.595980,,,,
Centro-Oeste,Goiás,Central,Trindade,-16.639260,-49.545328,,,,
Centro-Oeste,Goiás,Centro Sul,Aparecida de Goiânia,-16.809699,-49.262977,,,,
Centro-Oeste,Goiás,Centro Sul,Aragoiânia,-16.951832,-49.419118,,,,
Centro-Oeste,Goiás,Centro Sul,Bela Vista de Goiás,-16.957310,-48.911442,,,,
Centro-Oeste,Goiás,Centro Sul,Bonfinópolis,-16.601858,-49.010208,,,,
Centro-Oeste,Goiás,Centro Sul,Caldazinha,-16.742152,-48.972467,,,,
Centro-Oeste,Goiás,Centro Sul,Cezarina,-17.086719,-49.756307,,,,
Centro-Oeste,Goiás,Centro Sul,Cristianópolis,-17.213196,-48.707252,,,,
Centro-Oeste,Goiás,Centro Sul,Cromínia,-17.241144,-49.356894,,,,
Centro-Oeste,Goiás,Centro Sul,Edealina,-17.422074,-49.741955,,,,
Centro-Oeste,Goiás,Centro Sul,Edéia,-17.476925,-49.964447,,,,
Centro-Oeste,Goiás,Centro Sul,Hidrolândia,-17.011497,-49.267035,,,,
Centro-Oeste,Goiás,Centro Sul,Indiara,-17.184906,-49.968021,,,,
Centro-Oeste,Goiás,Centro Sul,Jandaia,-17.091547,-50.182341,,,,
Centro-Oeste,Goiás,Centro Sul,Leopoldo de Bulhões,-16.570562,-48.888704,,,,
Centro-Oeste,Goiás,Centro Sul,Mairipotaba,-17.299561,-49.458088,,,,
Centro-Oeste,Goiás,Centro Sul,Orizona,-17.007922,-48.195142,,,,
Centro-Oeste,Goiás,Centro Sul,Piracanjuba,-17.331726,-48.993545,,,,
Centro-Oeste,Goiás,Centro Sul,Pontalina,-17.530956,-49.537595,,,,
Centro-Oeste,Goiás,Centro Sul,Professor Jamil,-17.272794,-49.246128,,,,
Centro-Oeste,Goiás,Centro Sul,Senador Canedo,-16.706166,-49.107854,,,,
Centro-Oeste,Goiás,Centro Sul,Silvânia,-16.606270,-48.558326,,,,
Centro-Oeste,Goiás,Centro Sul,São Miguel do Passa Quatro,-16.989251,-48.668075,,,,
Centro-Oeste,Goiás,Centro Sul,Varjão,-17.078603,-49.611373,,,,
Centro-Oeste,Goiás,Centro Sul,Vianópolis,-16.813236,-48.442087,,,,
Centro-Oeste,Goiás,Centro Sul,Vicentinópolis,-17.724465,-49.872486,,,,
Centro-Oeste,Goiás,Entorno Norte,Alto Paraíso de Goiás,-14.183064,-47.535448,,,,
Centro-Oeste,Goiás,Entorno Norte,Cabeceiras,-15.759742,-46.992749,,,,
Centro-Oeste,Goiás,Entorno Norte,Flores de Goiás,-14.651772,-46.904703,,,,
Centro-Oeste,Goiás,Entorno Norte,Formosa,-15.307767,-47.247654,,,,
Centro-Oeste,Goiás,Entorno Norte,Planaltina,-15.284346,-47.751963,,,,
Centro-Oeste,Goiás,Entorno Norte,São João d'Aliança,-14.485581,-47.422916,,,,
Centro-Oeste,Goiás,Entorno Norte,Vila Boa,-14.993537,-47.062544,,,,
Centro-Oeste,Goiás,Entorno Norte,Água Fria de Goiás,-14.906333,-47.795510,,,,
Centro-Oeste,Goiás,Entorno Sul,Cidade Ocidental,-16.124174,-47.819244,,,,
Centro-Oeste,Goiás,Entorno Sul,Cristalina,-16.698296,-47.518028,,,,
Centro-Oeste,Goiás,Entorno Sul,Luziânia,-16.481827,-47.992477,,,,
Centro-Oeste,Goiás,Entorno Sul,Novo Gama,-16.124740,-48.075126,,,,
Centro-Oeste,Goiás,Entorno Sul,Santo Antônio do Descoberto,-16.085226,-48.282778,,,,
Centro-Oeste,Goiás,Entorno Sul,Valparaíso de Goiás,-16.085116,-47.987969,,,,
Centro-Oeste,Goiás,Entorno Sul,Águas Lindas de Goiás,-15.755857,-48.286170,,,,
Centro-Oeste,Goiás,Estrada de Ferro,Anhanguera,-18.312702,-48.225575,,,,
Centro-Oeste,Goiás,Estrada de Ferro,Caldas Novas,-17.709566,-48.647007,,,,
Centro-Oeste,Goiás,Estrada de Ferro,Campo Alegre de Goiás,-17.551633,-47.768443,,,,
Centro-Oeste,Goiás,Estrada de Ferro,Catalão,-17.931043,-47.664485,,,,
Centro-Oeste,Goiás,Estrada de Ferro,Corumbaíba,-18.168539,-48.533590,,,,
Centro-Oeste,Goiás,Estrada de Ferro,Cumari,-18.320560,-48.134084,,,,
Centro-Oeste,Goiás,Estrada de Ferro,Davinópolis,-18.118015,-47.566234,,,,
Centro-Oeste,Goiás,Estrada de Ferro,Goiandira,-18.122558,-48.138887,,,,
Centro-Oeste,Goiás,Estrada de Ferro,Ipameri,-17.505388,-48.054360,,,,
Centro-Oeste,Goiás,Estrada de Ferro,Marzagão,-17.985639,-48.689615,,,,
Centro-Oeste,Goiás,Estrada de Ferro,Nova Aurora,-18.098169,-48.295805,,,,
Centro-Oeste,Goiás,Estrada de Ferro,Ouvidor,-18.219672,-47.747165,,,,
Centro-Oeste,Goiás,Estrada de Ferro,Palmelo,-17.306086,-48.397104,,,,
Centro-Oeste,Goiás,Estrada de Ferro,Pires do Rio,-17.271847,-48.389001,,,,
Centro-Oeste,Goiás,Estrada de Ferro,Rio Quente,-17.832900,-48.782892,,,,
Centro-Oeste,Goiás,Estrada de Ferro,Santa Cruz de Goiás,-17.360350,-48.593289,,,,
Centro-Oeste,Goiás,Estrada de Ferro,Três Ranchos,-18.343871,-47.782312,,,,
Centro-Oeste,Goiás,Estrada de Ferro,Urutaí,-17.435983,-48.196137,,,,
Centro-Oeste,Goiás,Nordeste I,Campos Belos,-13.000109,-46.511541,,,,
Centro-Oeste,Goiás,Nordeste I,Cavalcante,-13.635097,-47.695870,,,,
Centro-Oeste,Goiás,Nordeste I,Divinópolis de Goiás,-13.264324,-46.518748,,,,
Centro-Oeste,Goiás,Nordeste I,Monte Alegre de Goiás,-13.294620,-46.923330,,,,
Centro-Oeste,Goiás,Nordeste I,Teresina de Goiás,-13.681669,-47.237313,,,,
Centro-Oeste,Goiás,Nordeste II,Alvorada do Norte,-14.566266,-46.631813,,,,
Centro-Oeste,Goiás,Nordeste II,Buritinópolis,-14.406941,-46.295917,,,,
Centro-Oeste,Goiás,Nordeste II,Damianópolis,-14.556337,-46.190932,,,,
Centro-Oeste,Goiás,Nordeste II,Guarani de Goiás,-13.889738,-46.432298,,,,
Centro-Oeste,Goiás,Nordeste II,Iaciara,-14.090781,-46.755305,,,,
Centro-Oeste,Goiás,Nordeste II,Mambaí,-14.419211,-46.067184,,,,
Centro-Oeste,Goiás,Nordeste II,Nova Roma,-13.800889,-47.010895,,,,
Centro-Oeste,Goiás,Nordeste II,Posse,-14.230099,-46.435822,,,,
Centro-Oeste,Goiás,Nordeste II,Simolândia,-14.432251,-46.582880,,,,
Centro-Oeste,Goiás,Nordeste II,São Domingos,-13.534317,-46.484345,,,,
Centro-Oeste,Goiás,Nordeste II,Sítio d'Abadia,-14.751948,-46.268360,,,,
Centro-Oeste,Goiás,Norte,Bonópolis,-13.571898,-49.863816,,,,
Centro-Oeste,Goiás,Norte,Campinaçu,-13.885035,-48.567963,,,,
Centro-Oeste,Goiás,Norte,Estrela do Norte,-13.813865,-49.086460,,,,
Centro-Oeste,Goiás,Norte,Formoso,-13.723084,-48.867913,,,,
Centro-Oeste,Goiás,Norte,Minaçu,-13.498798,-48.348962,,,,
Centro-Oeste,Goiás,Norte,Montividiu do Norte,-13.146512,-48.731748,,,,
Centro-Oeste,Goiás,Norte,Mundo Novo,-13.798611,-50.203602,,,,
Centro-Oeste,Goiás,Norte,Mutunópolis,-13.719059,-49.303895,,,,
Centro-Oeste,Goiás,Norte,Novo Planalto,-13.250414,-49.727393,,,,
Centro-Oeste,Goiás,Norte,Porangatu,-13.292678,-49.230945,,,,
Centro-Oeste,Goiás,Norte,Santa Tereza de Goiás,-13.572362,-48.982279,,,,
Centro-Oeste,Goiás,Norte,São Miguel do Araguaia,-13.145335,-50.249191,,,,
Centro-Oeste,Goiás,Norte,Trombas,-13.421141,-48.754358,,,,
Centro-Oeste,Goiás,Oeste I,Amorinópolis,-16.626329,-51.106918,,,,
Centro-Oeste,Goiás,Oeste I,Aragarças,-15.970384,-52.147330,,,,
Centro-Oeste,Goiás,Oeste I,Arenópolis,-16.353660,-51.584638,,,,
Centro-Oeste,Goiás,Oeste I,Baliza,-16.359980,-52.437929,,,,
Centro-Oeste,Goiás,Oeste I,Bom Jardim de Goiás,-16.168337,-52.072429,,,,
Centro-Oeste,Goiás,Oeste I,Diorama,-16.223459,-51.349419,,,,
Centro-Oeste,Goiás,Oeste I,Fazenda Nova,-16.151449,-50.857271,,,,
Centro-Oeste,Goiás,Oeste I,Iporá,-16.416146,-51.180594,,,,
Centro-Oeste,Goiás,Oeste I,Israelândia,-16.357804,-50.880252,,,,
Centro-Oeste,Goiás,Oeste I,Ivolândia,-16.676118,-51.034366,,,,
Centro-Oeste,Goiás,Oeste I,Jaupaci,-16.190285,-51.057919,,,,
Centro-Oeste,Goiás,Oeste I,Moiporá,-16.507969,-50.773074,,,,
Centro-Oeste,Goiás,Oeste I,Montes Claros de Goiás,-15.914164,-51.579346,,,,
Centro-Oeste,Goiás,Oeste I,Novo Brasil,-16.055491,-50.645585,,,,
Centro-Oeste,Goiás,Oeste I,Palestina de Goiás,-16.704425,-51.440994,,,,
Centro-Oeste,Goiás,Oeste I,Piranhas,-16.414111,-51.841869,,,,
Centro-Oeste,Goiás,Oeste II,Adelândia,-16.369755,-50.184449,,,,
Centro-Oeste,Goiás,Oeste II,Aurilândia,-16.695327,-50.526414,,,,
Centro-Oeste,Goiás,Oeste II,Buriti de Goiás,-16.170169,-50.452770,,,,
Centro-Oeste,Goiás,Oeste II,Cachoeira de Goiás,-16.720688,-50.699665,,,,
Centro-Oeste,Goiás,Oeste II,Córrego do Ouro,-16.365499,-50.581903,,,,
Centro-Oeste,Goiás,Oeste II,Firminópolis,-16.639769,-50.313134,,,,
Centro-Oeste,Goiás,Oeste II,Palmeiras de Goiás,-16.808904,-49.945875,,,,
