RegionName,StateName,StateLat,StateLon,match_0,match_1,match_2,match_3
Centro-Oeste,Distrito Federal,-15.781137,-47.796772,DF,,,
Centro-Oeste,Goiás,-16.041355,-49.622674,GO,,,
Centro-Oeste,Mato Grosso,-12.948673,-55.912136,MT,,,
Centro-Oeste,Mato Grosso do Sul,-20.327131,-54.845702,MS,,,
Nordeste,Alagoas,-9.514014,-36.625026,AL,,,
Nordeste,Bahia,-12.475150,-41.721852,BA,,,
Nordeste,Ceará,-5.093181,-39.615844,CE,,,
Nordeste,Maranhão,-5.072835,-45.288001,MA,,,
Nordeste,Paraíba,-7.121076,-36.832506,PB,,,
Nordeste,Pernambuco,-8.325304,-37.998436,PE,,,
Nordeste,Piauí,-7.389259,-42.970222,PI,,,
Nordeste,Rio Grande do Norte,-5.839472,-36.673280,RN,,,
Nordeste,Sergipe,-10.584266,-37.443974,SE,,,
Norte,Acre,-9.212717,-70.473437,AC,,,
Norte,Amapá,1.447500,-51.962026,AP,,,
Norte,Amazonas,-4.153974,-64.653341,AM,,,
Norte,Pará,-3.980512,-53.072042,PA,,,
Norte,Rondônia,-10.913152,-62.842092,RO,,,
Norte,Roraima,2.082630,-61.391875,RR,,,
Norte,Tocantins,-10.148324,-48.331467,TO,,,
Sudeste,Espírito Santo,-19.574786,-40.667978,ES,,,
Sudeste,Minas Gerais,-18.455317,-44.674053,MG,,,
Sudeste,Rio de Janeiro,-22.195957,-42.662416,RJ,,,
Sudeste,São Paulo,-22.266221,-48.728845,SP,,,
Sul,Paraná,-24.636091,-51.616325,PR,,,
Sul,Rio Grande do Sul,-29.705645,-53.321256,RS,,,
Sul,Santa Catarina,-27.247757,-50.473901,SC,,,
